loss,acc,val_loss,val_acc,lr
0.24775941669940948,0.8927774429321289,0.24455580115318298,0.875,5e-05
0.07941688597202301,0.9674691557884216,0.6176549196243286,0.84375,5e-05
0.05350690335035324,0.9768643379211426,0.4132193624973297,0.9375,5e-05
0.039651256054639816,0.9836758375167847,1.1641994714736938,0.90625,5e-05
0.02856442518532276,0.9904873967170715,7.587989966850728e-05,1.0,1e-05
0.021620670333504677,0.9914268851280212,0.17161574959754944,0.9375,1e-05
0.018672550097107887,0.9936582446098328,0.17971262335777283,0.9375,1e-05
0.015741683542728424,0.9928361773490906,0.2798178493976593,0.9375,1e-05
0.011706054210662842,0.9953023791313171,0.008195151574909687,1.0,2e-06
0.012448783963918686,0.9954198598861694,0.1456984281539917,0.9375,2e-06
0.01284009963274002,0.9951849579811096,0.06154310703277588,0.96875,2e-06
0.010670602321624756,0.9953023791313171,0.08892916142940521,0.9375,5e-07
0.00948407594114542,0.9969465732574463,0.05045712739229202,0.96875,5e-07
0.013212161138653755,0.9953023791313171,0.03016936592757702,0.96875,5e-07
0.014990798197686672,0.995537281036377,0.010632713325321674,1.0,5e-07
